Date,Price,Open,High,Low,Vol.,Change %
07/13/2026,"2,960.00","2,960.00","2,960.00","2,960.00",,0.54%
07/10/2026,"2,944.00","2,944.00","2,944.00","2,944.00",,1.17%
07/09/2026,"2,910.00","2,910.00","2,910.00","2,910.00",,1.36%
07/08/2026,"2,871.00","2,871.00","2,871.00","2,871.00",,-0.14%
07/07/2026,"2,875.00","2,875.00","2,875.00","2,875.00",,2.79%
07/06/2026,"2,797.00","2,797.00","2,797.00","2,797.00",,2.94%
07/03/2026,"2,717.00","2,717.00","2,717.00","2,717.00",,2.53%
07/02/2026,"2,650.00","2,650.00","2,650.00","2,650.00",,3.43%
07/01/2026,"2,562.00","2,562.00","2,562.00","2,562.00",,2.44%
06/30/2026,"2,501.00","2,501.00","2,501.00","2,501.00",,0.44%
06/29/2026,"2,490.00","2,490.00","2,490.00","2,490.00",,-1.35%
06/26/2026,"2,524.00","2,524.00","2,524.00","2,524.00",,-2.59%
06/25/2026,"2,591.00","2,591.00","2,591.00","2,591.00",,-1.63%
06/24/2026,"2,634.00","2,634.00","2,634.00","2,634.00",,-1.24%
06/23/2026,"2,667.00","2,667.00","2,667.00","2,667.00",,-0.63%
06/22/2026,"2,684.00","2,684.00","2,684.00","2,684.00",,-1.40%
06/19/2026,"2,722.00","2,722.00","2,722.00","2,722.00",,2.37%
06/18/2026,"2,659.00","2,659.00","2,659.00","2,659.00",,0.23%
06/17/2026,"2,653.00","2,653.00","2,653.00","2,653.00",,-0.64%
06/16/2026,"2,670.00","2,670.00","2,670.00","2,670.00",,-1.84%
06/15/2026,"2,720.00","2,729.00","2,729.00","2,720.00",,-3.48%
